entity_id,entity_type,display_name,habitual_hour_start,habitual_hour_end,home_city,home_country,home_lat,home_lon,home_subnet,typical_resources,typical_auth_method,typical_os,typical_mac,typical_protocol,mean_session_seconds,std_session_seconds
USE-00080,user,Doris Hall,7,16,Singapore,SG,1.3521,103.8198,10.86.6,"[np.str_('resource/hr/008'), np.str_('resource/engineering/016'), np.str_('resource/engineering/012')]",certificate,RHEL 9,c8:90:e8:24:77:87,SSH,286.19316857610147,155.63082134004642
USE-00081,user,Leah Lara,9,17,Sao Paulo,BR,-23.5505,-46.6333,10.119.115,"[np.str_('resource/devops/020'), np.str_('resource/customer_db/020'), np.str_('resource/hr/013'), np.str_('resource/hr/016')]",mfa,Windows 11,e8:65:d9:3a:73:4c,HTTPS,928.9054517481516,192.6798225744095
USE-00082,user,Charles Brown,8,17,London,UK,51.5074,-0.1278,10.223.197,"[np.str_('resource/engineering/001'), np.str_('resource/billing/024'), np.str_('resource/hr/022'), np.str_('resource/hr/003'), np.str_('resource/finance/022')]",certificate,Windows 11,b0:9d:93:e0:3f:ef,SFTP,1770.3760276156145,191.53984389823665
USE-00083,user,James Nelson,6,14,Sao Paulo,BR,-23.5505,-46.6333,10.24.208,"[np.str_('resource/hr/020'), np.str_('resource/devops/012'), np.str_('resource/engineering/011')]",certificate,RHEL 9,bc:fc:e0:29:14:dd,SMB,1031.1721958677044,49.75603820611241
USE-00084,user,David Davis,7,15,New York,US,40.7128,-74.006,10.187.188,"[np.str_('resource/finance/022'), np.str_('resource/engineering/025'), np.str_('resource/billing/020')]",mfa,IoT-RTOS,84:0a:89:14:59:f0,RDP,800.1563402365767,156.80269491392627
USE-00085,user,Sydney White,9,16,New York,US,40.7128,-74.006,10.25.98,"[np.str_('resource/finance/025'), np.str_('resource/devops/012'), np.str_('resource/customer_db/007'), np.str_('resource/infra/019')]",mfa,Windows Server 2022,68:df:fb:2e:f0:b2,SFTP,421.5466815414269,94.44222763579457
USE-00086,user,Michael Hodge,7,14,New York,US,40.7128,-74.006,10.86.136,"[np.str_('resource/billing/024'), np.str_('resource/iot_gateway/016'), np.str_('resource/billing/021'), np.str_('resource/hr/002')]",sso,RHEL 9,d0:a8:d2:fd:93:cd,SSH,531.2581226042444,49.02573131334634
USE-00087,user,Amanda Miller,9,16,New York,US,40.7128,-74.006,10.32.46,"[np.str_('resource/customer_db/015'), np.str_('resource/customer_db/023'), np.str_('resource/finance/001'), np.str_('resource/billing/001'), np.str_('resource/engineering/015'), np.str_('resource/engineering/006'), np.str_('resource/infra/006'), np.str_('resource/infra/002')]",certificate,Windows 11,a8:81:a5:3b:ce:00,RDP,1721.3852818407174,49.4438379878198
USE-00088,user,Julia Brown,8,17,Singapore,SG,1.3521,103.8198,10.233.0,"[np.str_('resource/finance/007'), np.str_('resource/billing/024'), np.str_('resource/hr/008'), np.str_('resource/engineering/001')]",mfa,IoT-RTOS,44:b9:ff:e2:1a:68,SMB,901.2237417419786,92.0812241441501
USE-00089,user,Tanya Kim,8,16,Tokyo,JP,35.6762,139.6503,10.119.213,"[np.str_('resource/devops/021'), np.str_('resource/billing/016'), np.str_('resource/hr/004'), np.str_('resource/billing/014')]",password,RHEL 9,4e:f8:3e:0e:7a:51,SFTP,693.5302732013024,29.01920414544808
USE-00090,user,Kristen Davis,7,14,Lagos,NG,6.5244,3.3792,10.162.192,"[np.str_('resource/iot_gateway/023'), np.str_('resource/iot_gateway/003'), np.str_('resource/billing/008'), np.str_('resource/finance/011'), np.str_('resource/iot_gateway/002'), np.str_('resource/billing/016'), np.str_('resource/infra/022')]",password,macOS Sonoma,ee:3a:ec:3c:4e:ff,SFTP,591.9059284197806,31.17135917722794
USE-00091,user,Katrina Hill,7,16,Singapore,SG,1.3521,103.8198,10.100.39,"[np.str_('resource/billing/008'), np.str_('resource/customer_db/011'), np.str_('resource/hr/006')]",certificate,macOS Sonoma,62:f7:f1:7c:e9:4a,SSH,1339.9826156849538,102.99789742788337
USE-00092,user,Kyle Francis,8,16,Frankfurt,DE,50.1109,8.6821,10.215.148,"[np.str_('resource/engineering/019'), np.str_('resource/customer_db/018'), np.str_('resource/infra/021'), np.str_('resource/infra/005'), np.str_('resource/finance/015'), np.str_('resource/devops/014')]",password,IoT-RTOS,ee:45:23:8d:d4:ae,RDP,1619.3793186747082,154.93135140611616
USE-00093,user,Debra Smith,9,17,Frankfurt,DE,50.1109,8.6821,10.102.228,"[np.str_('resource/devops/015'), np.str_('resource/iot_gateway/022'), np.str_('resource/engineering/010'), np.str_('resource/hr/009'), np.str_('resource/iot_gateway/005'), np.str_('resource/engineering/022')]",sso,Windows 11,58:98:fa:4c:e4:f7,MQTT,975.0093749422751,183.27553884371153
USE-00094,user,Phillip Bennett,7,14,Frankfurt,DE,50.1109,8.6821,10.170.33,"[np.str_('resource/customer_db/014'), np.str_('resource/iot_gateway/013'), np.str_('resource/customer_db/018'), np.str_('resource/customer_db/006'), np.str_('resource/customer_db/004'), np.str_('resource/engineering/018')]",api_key,RHEL 9,da:a4:60:7a:c4:77,SMB,153.20762817572202,78.77843168092039
USE-00095,user,Amanda Garner,6,13,Toronto,CA,43.6532,-79.3832,10.72.71,"[np.str_('resource/devops/006'), np.str_('resource/iot_gateway/023'), np.str_('resource/hr/010'), np.str_('resource/hr/024'), np.str_('resource/billing/018'), np.str_('resource/iot_gateway/008'), np.str_('resource/devops/008')]",api_key,IoT-RTOS,20:c3:c5:4d:fd:12,SFTP,460.2376453126324,117.57422629112945
USE-00096,user,Leslie Kane,8,17,Tokyo,JP,35.6762,139.6503,10.5.137,"[np.str_('resource/infra/013'), np.str_('resource/engineering/015'), np.str_('resource/iot_gateway/021'), np.str_('resource/engineering/011'), np.str_('resource/infra/019'), np.str_('resource/engineering/001'), np.str_('resource/finance/013'), np.str_('resource/infra/024')]",sso,RHEL 9,68:e1:33:e9:07:49,SFTP,1145.182106647853,99.90971955127574
USE-00097,user,Tracy Jones,9,18,London,UK,51.5074,-0.1278,10.235.80,"[np.str_('resource/engineering/014'), np.str_('resource/infra/007'), np.str_('resource/iot_gateway/002'), np.str_('resource/customer_db/022'), np.str_('resource/engineering/013'), np.str_('resource/iot_gateway/014'), np.str_('resource/billing/018'), np.str_('resource/customer_db/014')]",certificate,IoT-RTOS,da:87:ad:cb:29:a8,SFTP,1371.5857633098767,157.64010114115993
USE-00098,user,Kimberly Finley,9,16,London,UK,51.5074,-0.1278,10.65.117,"[np.str_('resource/customer_db/015'), np.str_('resource/infra/022'), np.str_('resource/infra/023'), np.str_('resource/iot_gateway/014'), np.str_('resource/hr/023')]",sso,Ubuntu 22.04,3a:f9:12:23:78:93,RDP,487.6791027749821,166.8900830155096
USE-00099,user,Jessica Garcia,9,17,Frankfurt,DE,50.1109,8.6821,10.213.59,"[np.str_('resource/engineering/018'), np.str_('resource/engineering/023'), np.str_('resource/finance/008'), np.str_('resource/finance/002')]",password,RHEL 9,0a:33:e3:55:99:0e,MQTT,314.3830010798415,90.21126622817526
USE-00100,user,Anthony Howard,9,16,Sydney,AU,-33.8688,151.2093,10.237.73,"[np.str_('resource/devops/012'), np.str_('resource/finance/006'), np.str_('resource/customer_db/010'), np.str_('resource/hr/006')]",certificate,macOS Sonoma,2a:dc:4a:7d:d2:5c,HTTPS,351.83582914448095,162.3328353012789
SER-00101,service_account,service_account-christianpitts,6,20,London,UK,51.5074,-0.1278,10.174.203,"[np.str_('resource/iot_gateway/016'), np.str_('resource/billing/015'), np.str_('resource/hr/011'), np.str_('resource/hr/019'), np.str_('resource/infra/015'), np.str_('resource/finance/022'), np.str_('resource/customer_db/014'), np.str_('resource/iot_gateway/004')]",api_key,Windows 11,a2:7b:fe:49:76:ec,SFTP,1799.0288074966356,112.96269247441536
SER-00102,service_account,service_account-steve07,2,20,San Francisco,US,37.7749,-122.4194,10.90.82,"[np.str_('resource/engineering/009'), np.str_('resource/devops/022'), np.str_('resource/hr/011'), np.str_('resource/customer_db/017'), np.str_('resource/finance/023'), np.str_('resource/devops/016'), np.str_('resource/engineering/013')]",api_key,RHEL 9,fc:93:50:25:e2:b0,MQTT,1499.6677214843803,94.99987964717843
SER-00103,service_account,service_account-danielle64,7,17,Singapore,SG,1.3521,103.8198,10.39.78,"[np.str_('resource/engineering/004'), np.str_('resource/hr/008'), np.str_('resource/iot_gateway/014'), np.str_('resource/devops/003'), np.str_('resource/hr/019'), np.str_('resource/customer_db/022'), np.str_('resource/billing/007')]",sso,Windows Server 2022,1a:e9:9a:65:c4:f7,HTTPS,208.7159303521854,20.093373949826994
SER-00104,service_account,service_account-patrickhoward,10,7,San Francisco,US,37.7749,-122.4194,10.209.141,"[np.str_('resource/engineering/019'), np.str_('resource/iot_gateway/004'), np.str_('resource/engineering/017'), np.str_('resource/iot_gateway/023'), np.str_('resource/billing/014'), np.str_('resource/finance/020'), np.str_('resource/finance/007')]",sso,Ubuntu 22.04,02:97:97:0b:ca:8c,MQTT,275.8302100731512,91.0066732289758
SER-00105,service_account,service_account-lozanojulie,17,9,Tokyo,JP,35.6762,139.6503,10.118.78,"[np.str_('resource/engineering/015'), np.str_('resource/iot_gateway/024'), np.str_('resource/infra/001'), np.str_('resource/hr/016')]",mfa,Ubuntu 22.04,9e:92:75:b4:70:61,SSH,470.0772936108252,155.26834590285128
SER-00106,service_account,service_account-erica21,2,21,Lagos,NG,6.5244,3.3792,10.209.15,"[np.str_('resource/hr/011'), np.str_('resource/hr/008'), np.str_('resource/engineering/017')]",mfa,RHEL 9,ba:14:9e:e1:11:ba,SFTP,350.5149130882288,137.6371686248558
SER-00107,service_account,service_account-christopherphillips,10,8,London,UK,51.5074,-0.1278,10.56.120,"[np.str_('resource/devops/014'), np.str_('resource/devops/020'), np.str_('resource/hr/011'), np.str_('resource/billing/023'), np.str_('resource/devops/017')]",api_key,IoT-RTOS,86:d4:59:66:43:bb,SSH,1354.3382197113742,121.95571714573603
SER-00108,service_account,service_account-maria47,13,1,Mumbai,IN,19.076,72.8777,10.106.65,"[np.str_('resource/iot_gateway/014'), np.str_('resource/finance/006'), np.str_('resource/engineering/022'), np.str_('resource/devops/012'), np.str_('resource/finance/010'), np.str_('resource/customer_db/016'), np.str_('resource/infra/006')]",api_key,Windows 11,24:97:ad:3a:ef:26,MQTT,1062.854754055274,89.36650655427854
SER-00109,service_account,service_account-michelleramsey,6,14,Toronto,CA,43.6532,-79.3832,10.54.152,"[np.str_('resource/infra/012'), np.str_('resource/customer_db/014'), np.str_('resource/iot_gateway/003'), np.str_('resource/engineering/012'), np.str_('resource/hr/007'), np.str_('resource/iot_gateway/011')]",certificate,RHEL 9,42:cb:bb:2e:ca:07,SMB,408.8933912541984,180.24751312825137
SER-00110,service_account,service_account-gibsonemily,11,7,San Francisco,US,37.7749,-122.4194,10.49.76,"[np.str_('resource/customer_db/019'), np.str_('resource/billing/015'), np.str_('resource/finance/012'), np.str_('resource/engineering/019'), np.str_('resource/devops/010')]",api_key,Windows 11,78:86:c3:be:37:77,SSH,286.5837106060081,57.25732873535115
SER-00111,service_account,service_account-harveysherry,10,1,San Francisco,US,37.7749,-122.4194,10.91.62,"[np.str_('resource/hr/002'), np.str_('resource/iot_gateway/005'), np.str_('resource/billing/023'), np.str_('resource/finance/016')]",password,macOS Sonoma,a6:a7:71:20:ed:9a,RDP,564.8760579002538,129.88731212152192
SER-00112,service_account,service_account-cwilson,4,0,Sydney,AU,-33.8688,151.2093,10.192.26,"[np.str_('resource/finance/024'), np.str_('resource/devops/006'), np.str_('resource/finance/022'), np.str_('resource/finance/011'), np.str_('resource/finance/007'), np.str_('resource/iot_gateway/012'), np.str_('resource/iot_gateway/024'), np.str_('resource/finance/020')]",certificate,RHEL 9,3c:13:9b:fc:3b:31,SMB,1794.4177153521778,27.951518529949027
SER-00113,service_account,service_account-paulwatson,9,16,London,UK,51.5074,-0.1278,10.43.204,"[np.str_('resource/customer_db/018'), np.str_('resource/devops/013'), np.str_('resource/finance/018'), np.str_('resource/infra/016')]",certificate,Windows Server 2022,9c:d6:4f:d4:32:fa,RDP,949.369088134685,194.7592511382328
SER-00114,service_account,service_account-rcrosby,9,5,Lagos,NG,6.5244,3.3792,10.26.203,"[np.str_('resource/customer_db/019'), np.str_('resource/iot_gateway/006'), np.str_('resource/hr/001'), np.str_('resource/billing/006'), np.str_('resource/infra/016')]",certificate,Windows 11,f2:10:bd:6f:e3:e3,SMB,722.5702897668908,93.5604879260083
SER-00115,service_account,service_account-melissagarcia,10,6,Sydney,AU,-33.8688,151.2093,10.144.97,"[np.str_('resource/engineering/024'), np.str_('resource/billing/009'), np.str_('resource/devops/010'), np.str_('resource/customer_db/004'), np.str_('resource/devops/007'), np.str_('resource/iot_gateway/021')]",sso,Windows Server 2022,30:bc:b7:1f:cb:8d,SMB,1051.390359278003,77.7287984049337
SER-00116,service_account,service_account-rushmadison,8,15,Lagos,NG,6.5244,3.3792,10.54.199,"[np.str_('resource/infra/005'), np.str_('resource/engineering/011'), np.str_('resource/finance/019'), np.str_('resource/infra/001'), np.str_('resource/hr/009')]",sso,RHEL 9,3e:2e:6c:0a:19:aa,MQTT,552.469568740224,168.822178746274
SER-00117,service_account,service_account-kristinharris,22,7,Lagos,NG,6.5244,3.3792,10.147.249,"[np.str_('resource/finance/011'), np.str_('resource/iot_gateway/006'), np.str_('resource/devops/021'), np.str_('resource/finance/021'), np.str_('resource/iot_gateway/007'), np.str_('resource/devops/015')]",password,macOS Sonoma,c8:6a:6e:77:a8:4b,HTTPS,1263.1035935254688,121.28024248974796
SER-00118,service_account,service_account-ramireztracey,0,12,New York,US,40.7128,-74.006,10.224.252,"[np.str_('resource/hr/022'), np.str_('resource/billing/017'), np.str_('resource/customer_db/016'), np.str_('resource/hr/016'), np.str_('resource/customer_db/018'), np.str_('resource/customer_db/023'), np.str_('resource/hr/005')]",mfa,IoT-RTOS,20:42:80:59:38:0d,SMB,574.1742041748703,48.905896265285364
SER-00119,service_account,service_account-howardkristina,18,2,Sydney,AU,-33.8688,151.2093,10.47.237,"[np.str_('resource/hr/018'), np.str_('resource/infra/006'), np.str_('resource/hr/023'), np.str_('resource/devops/018'), np.str_('resource/finance/016')]",sso,IoT-RTOS,20:a5:08:59:87:1a,SFTP,749.0994132342154,38.199109868405294
SER-00120,service_account,service_account-vfox,19,10,Singapore,SG,1.3521,103.8198,10.94.32,"[np.str_('resource/hr/023'), np.str_('resource/iot_gateway/002'), np.str_('resource/infra/012'), np.str_('resource/iot_gateway/021'), np.str_('resource/devops/021')]",sso,Windows 11,72:20:f3:e5:b9:37,HTTPS,1455.1809381415205,170.7890344736674
EDG-00121,edge_device,edge_device-soniawilliams,0,0,New York,US,40.7128,-74.006,10.132.129,"[np.str_('resource/iot_gateway/021'), np.str_('resource/engineering/011'), np.str_('resource/billing/025'), np.str_('resource/iot_gateway/015')]",sso,Ubuntu 22.04,d8:9a:ea:0f:1f:f5,MQTT,394.49805625108354,140.29953334312768
EDG-00122,edge_device,edge_device-gsimmons,0,0,San Francisco,US,37.7749,-122.4194,10.54.114,"[np.str_('resource/billing/005'), np.str_('resource/infra/017'), np.str_('resource/infra/022'), np.str_('resource/finance/008'), np.str_('resource/hr/003')]",password,macOS Sonoma,9a:fb:e3:25:29:a4,SSH,698.1570111464247,37.42582687489486
EDG-00123,edge_device,edge_device-cameronhill,0,0,Tokyo,JP,35.6762,139.6503,10.109.34,"[np.str_('resource/hr/019'), np.str_('resource/hr/014'), np.str_('resource/customer_db/004'), np.str_('resource/billing/009'), np.str_('resource/hr/024'), np.str_('resource/devops/018'), np.str_('resource/finance/017'), np.str_('resource/customer_db/007')]",sso,Ubuntu 22.04,18:a6:c3:96:e8:dc,HTTPS,1018.1292621659825,198.83773942163253
EDG-00124,edge_device,edge_device-farrelldebra,0,0,Sydney,AU,-33.8688,151.2093,10.29.72,"[np.str_('resource/infra/004'), np.str_('resource/engineering/010'), np.str_('resource/hr/015'), np.str_('resource/devops/006'), np.str_('resource/infra/008'), np.str_('resource/finance/008'), np.str_('resource/iot_gateway/003'), np.str_('resource/iot_gateway/014')]",password,Windows 11,56:6e:dc:e7:74:d3,SFTP,381.67288723729337,116.2816675356567
EDG-00125,edge_device,edge_device-uross,0,0,New York,US,40.7128,-74.006,10.72.50,"[np.str_('resource/iot_gateway/014'), np.str_('resource/billing/007'), np.str_('resource/billing/019'), np.str_('resource/customer_db/003'), np.str_('resource/customer_db/014'), np.str_('resource/finance/013'), np.str_('resource/devops/022'), np.str_('resource/infra/011')]",certificate,Windows Server 2022,5e:30:a0:da:a0:82,HTTPS,1577.0691080419847,147.4119009922606
EDG-00126,edge_device,edge_device-gloriawells,0,0,Tokyo,JP,35.6762,139.6503,10.138.246,"[np.str_('resource/infra/022'), np.str_('resource/iot_gateway/001'), np.str_('resource/engineering/022'), np.str_('resource/devops/016'), np.str_('resource/billing/016'), np.str_('resource/devops/013'), np.str_('resource/finance/025')]",certificate,Windows Server 2022,be:2e:2b:2f:dd:31,SFTP,1304.128382712544,106.9289101049211
EDG-00127,edge_device,edge_device-lisa80,0,0,Sydney,AU,-33.8688,151.2093,10.19.144,"[np.str_('resource/engineering/006'), np.str_('resource/hr/014'), np.str_('resource/engineering/022'), np.str_('resource/billing/020'), np.str_('resource/customer_db/002')]",api_key,RHEL 9,de:a8:3e:d2:b5:d8,RDP,1683.5499407549623,130.19978154691142
EDG-00128,edge_device,edge_device-schmittcaroline,0,0,San Francisco,US,37.7749,-122.4194,10.248.208,"[np.str_('resource/hr/007'), np.str_('resource/billing/023'), np.str_('resource/engineering/013')]",mfa,Ubuntu 22.04,38:b4:35:6c:4f:f6,SMB,1692.7772451555295,195.89469138458432
EDG-00129,edge_device,edge_device-bellangela,0,0,New York,US,40.7128,-74.006,10.49.37,"[np.str_('resource/finance/010'), np.str_('resource/engineering/021'), np.str_('resource/infra/011'), np.str_('resource/hr/006')]",sso,Ubuntu 22.04,9a:3a:8e:73:db:0d,SFTP,1022.5277246064912,132.67812020583455
EDG-00130,edge_device,edge_device-anthony44,0,0,Toronto,CA,43.6532,-79.3832,10.241.32,"[np.str_('resource/customer_db/025'), np.str_('resource/billing/009'), np.str_('resource/infra/024'), np.str_('resource/billing/022')]",mfa,Windows 11,90:ad:b3:03:5c:49,HTTPS,499.56064930019454,98.8114818216507
EDG-00131,edge_device,edge_device-vjones,0,0,Sao Paulo,BR,-23.5505,-46.6333,10.110.206,"[np.str_('resource/infra/008'), np.str_('resource/hr/012'), np.str_('resource/customer_db/010'), np.str_('resource/billing/014'), np.str_('resource/billing/002'), np.str_('resource/engineering/024'), np.str_('resource/engineering/014'), np.str_('resource/finance/025')]",mfa,RHEL 9,74:0f:2e:6e:c0:d6,MQTT,403.7067099093608,188.60054453572278
EDG-00132,edge_device,edge_device-eric45,0,0,Toronto,CA,43.6532,-79.3832,10.129.238,"[np.str_('resource/customer_db/025'), np.str_('resource/billing/012'), np.str_('resource/finance/022'), np.str_('resource/infra/018')]",sso,Windows Server 2022,ac:2b:1a:4f:50:19,SFTP,936.9514292865775,106.03038453316958
EDG-00133,edge_device,edge_device-nelsonebony,0,0,Lagos,NG,6.5244,3.3792,10.12.152,"[np.str_('resource/devops/016'), np.str_('resource/infra/018'), np.str_('resource/hr/024'), np.str_('resource/iot_gateway/021'), np.str_('resource/finance/014')]",certificate,Windows 11,c0:f8:e2:d4:8b:6e,RDP,1626.5490242723733,105.60101118192826
EDG-00134,edge_device,edge_device-reeddaniel,0,0,Mumbai,IN,19.076,72.8777,10.199.230,"[np.str_('resource/billing/009'), np.str_('resource/iot_gateway/019'), np.str_('resource/billing/014')]",sso,Ubuntu 22.04,fc:f9:9d:17:70:ca,SMB,1558.4647263783006,133.59177971693975
EDG-00135,edge_device,edge_device-smithkevin,0,0,Frankfurt,DE,50.1109,8.6821,10.108.160,"[np.str_('resource/customer_db/011'), np.str_('resource/iot_gateway/009'), np.str_('resource/iot_gateway/006'), np.str_('resource/billing/005'), np.str_('resource/devops/011')]",certificate,Ubuntu 22.04,1e:6c:46:82:94:a7,SMB,1357.4427964344316,102.74770360164658
EDG-00136,edge_device,edge_device-jimenezryan,0,0,Tokyo,JP,35.6762,139.6503,10.159.28,"[np.str_('resource/hr/002'), np.str_('resource/engineering/020'), np.str_('resource/infra/018'), np.str_('resource/iot_gateway/023')]",api_key,Windows Server 2022,64:42:c2:75:b5:24,SFTP,577.9453156586981,39.930366548099784
EDG-00137,edge_device,edge_device-grahamsteve,0,0,San Francisco,US,37.7749,-122.4194,10.44.191,"[np.str_('resource/engineering/008'), np.str_('resource/infra/006'), np.str_('resource/engineering/006'), np.str_('resource/billing/005'), np.str_('resource/hr/014'), np.str_('resource/customer_db/003'), np.str_('resource/engineering/016'), np.str_('resource/hr/005')]",mfa,RHEL 9,4a:27:a0:db:cf:d5,RDP,367.67560185578424,69.21734638280105
EDG-00138,edge_device,edge_device-sullivantammy,0,0,London,UK,51.5074,-0.1278,10.17.107,"[np.str_('resource/hr/001'), np.str_('resource/customer_db/001'), np.str_('resource/iot_gateway/016'), np.str_('resource/infra/011')]",sso,Windows Server 2022,d8:57:eb:b9:2d:df,MQTT,1376.6234166401107,166.71315731937574
EDG-00139,edge_device,edge_device-sanchezbrianna,0,0,London,UK,51.5074,-0.1278,10.119.87,"[np.str_('resource/engineering/018'), np.str_('resource/engineering/005'), np.str_('resource/hr/023'), np.str_('resource/customer_db/012'), np.str_('resource/billing/012')]",mfa,RHEL 9,54:28:ca:9e:ad:71,SSH,1382.991591507713,76.49241898009637
EDG-00140,edge_device,edge_device-charlesschultz,0,0,London,UK,51.5074,-0.1278,10.94.229,"[np.str_('resource/customer_db/013'), np.str_('resource/hr/001'), np.str_('resource/engineering/023'), np.str_('resource/finance/003')]",mfa,macOS Sonoma,1a:63:b2:b3:4b:78,MQTT,1682.405623555925,109.62773350199977
EDG-00141,edge_device,edge_device-jonathanthompson,0,0,Sao Paulo,BR,-23.5505,-46.6333,10.201.91,"[np.str_('resource/finance/005'), np.str_('resource/billing/020'), np.str_('resource/devops/025'), np.str_('resource/devops/023'), np.str_('resource/customer_db/019'), np.str_('resource/infra/023')]",sso,RHEL 9,c0:4e:26:5a:fc:ed,HTTPS,146.55333313942486,105.89611399092644
EDG-00142,edge_device,edge_device-kmaldonado,0,0,Sydney,AU,-33.8688,151.2093,10.27.181,"[np.str_('resource/customer_db/022'), np.str_('resource/customer_db/006'), np.str_('resource/infra/014'), np.str_('resource/billing/003'), np.str_('resource/customer_db/015')]",mfa,Windows Server 2022,78:a5:a1:4d:e1:22,MQTT,1544.3659369357397,199.0683584517562
EDG-00143,edge_device,edge_device-ywelch,0,0,Mumbai,IN,19.076,72.8777,10.142.156,"[np.str_('resource/finance/023'), np.str_('resource/hr/007'), np.str_('resource/customer_db/005'), np.str_('resource/billing/023'), np.str_('resource/engineering/004'), np.str_('resource/engineering/012'), np.str_('resource/hr/001'), np.str_('resource/iot_gateway/025')]",mfa,Windows Server 2022,76:8c:1c:b4:25:9e,SSH,447.9116900953415,30.430162016863388
EDG-00144,edge_device,edge_device-xjohnson,0,0,Sao Paulo,BR,-23.5505,-46.6333,10.232.196,"[np.str_('resource/finance/012'), np.str_('resource/hr/014'), np.str_('resource/iot_gateway/023'), np.str_('resource/billing/014'), np.str_('resource/finance/001'), np.str_('resource/iot_gateway/009'), np.str_('resource/customer_db/004'), np.str_('resource/iot_gateway/010')]",password,Windows Server 2022,94:92:27:2e:c4:ec,MQTT,1488.316111731969,62.3461499148161
EDG-00145,edge_device,edge_device-colelisa,0,0,Lagos,NG,6.5244,3.3792,10.110.178,"[np.str_('resource/engineering/003'), np.str_('resource/infra/012'), np.str_('resource/devops/016'), np.str_('resource/engineering/018')]",mfa,RHEL 9,72:60:a4:f3:4d:1f,MQTT,1416.7068966249808,88.09724256028142
EDG-00146,edge_device,edge_device-shepherdmary,0,0,Mumbai,IN,19.076,72.8777,10.206.195,"[np.str_('resource/engineering/023'), np.str_('resource/iot_gateway/007'), np.str_('resource/infra/013'), np.str_('resource/finance/001'), np.str_('resource/infra/014'), np.str_('resource/hr/017'), np.str_('resource/billing/013'), np.str_('resource/devops/024')]",password,Windows 11,fc:2b:58:14:7e:e0,RDP,1375.087345058209,86.87777751314508
EDG-00147,edge_device,edge_device-nwarren,0,0,London,UK,51.5074,-0.1278,10.219.134,"[np.str_('resource/hr/010'), np.str_('resource/infra/013'), np.str_('resource/customer_db/008'), np.str_('resource/hr/014')]",api_key,RHEL 9,68:51:ba:be:90:c6,MQTT,1771.4184481803238,94.13181925417527
EDG-00148,edge_device,edge_device-erika05,0,0,Sao Paulo,BR,-23.5505,-46.6333,10.24.105,"[np.str_('resource/devops/024'), np.str_('resource/devops/007'), np.str_('resource/finance/015'), np.str_('resource/hr/023'), np.str_('resource/hr/024')]",sso,Windows 11,40:21:a8:30:c5:91,SSH,431.4304583081759,103.48905988331772
EDG-00149,edge_device,edge_device-mathewaguilar,0,0,London,UK,51.5074,-0.1278,10.67.153,"[np.str_('resource/hr/013'), np.str_('resource/billing/008'), np.str_('resource/devops/007'), np.str_('resource/hr/018')]",mfa,Windows 11,98:48:b3:9e:c8:42,SSH,346.86400137447663,189.883706258668
EDG-00150,edge_device,edge_device-collinsnicholas,0,0,Tokyo,JP,35.6762,139.6503,10.41.200,"[np.str_('resource/billing/019'), np.str_('resource/customer_db/005'), np.str_('resource/devops/008'), np.str_('resource/iot_gateway/002'), np.str_('resource/hr/020')]",api_key,Ubuntu 22.04,04:a8:41:2f:d8:b9,MQTT,474.3697726610377,185.1312060679056
